"id","utrProfileId","singlesRating","doublesRating","playerId","createdAt","updatedAt"
211,1860378,"11.09","11.48",211,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
212,275390,"11.09","0",212,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
213,1695542,"11.09","10.23",213,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
214,980151,"11.08","0",214,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
215,280298,"11.08","10.71",215,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
216,493856,"11.08","0",216,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
217,1458797,"11.08","11.5",217,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
218,275004,"11.08","11.71",218,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
219,280339,"11.08","11.07",219,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
220,1629468,"11.08","0",220,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
221,308923,"11.08","10.25",221,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
222,254129,"11.08","11.71",222,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
223,1587305,"11.08","10.46",223,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
224,1874678,"11.08","11.09",224,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
225,116385,"11.08","11.15",225,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
226,1937259,"11.08","10.92",226,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
227,279215,"11.08","11.26",227,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
228,1888476,"11.08","11.75",228,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
229,286157,"11.08","11.37",229,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
230,1041111,"11.08","10.99",230,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
231,280010,"11.08","10.47",231,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
232,930390,"11.08","10.49",232,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
233,1784519,"11.08","11.94",233,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
234,747372,"11.08","0",234,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
235,1948110,"11.08","11.03",235,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
236,909799,"11.08","10.47",236,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
237,819194,"11.08","9.99",237,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
238,1971116,"11.08","10.52",238,"2020-06-10 20:28:16.032+00","2020-06-10 20:28:16.032+00"
239,277631,"11.11","11.42",239,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
240,1618857,"11.11","10.64",240,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
241,304150,"11.11","9.37",241,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
242,1721433,"11.2","11.49",242,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
243,1228349,"11.11","10.97",243,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
244,1319091,"11.11","11.06",244,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
245,1971637,"11.11","10.82",245,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
246,279155,"11.11","11.52",246,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
247,278378,"11.11","11.04",247,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
248,280426,"11.11","11.03",248,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
249,251649,"11.15","11.4",249,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
250,101987,"11.11","10.79",250,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
251,1860385,"11.11","10.83",251,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
252,1393663,"11.11","9.63",252,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
253,1771531,"11.11","11.6",253,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
254,802307,"11.11","0",254,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
255,275714,"11.07","10.65",255,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
256,966409,"11.11","10.96",256,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
257,161419,"11.11","10.82",257,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
258,1611581,"11.1","11.9",258,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
259,657681,"11.1","0",259,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
260,393340,"11.1","0",260,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
261,271503,"11.1","11.41",261,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
262,125375,"11.1","10.22",262,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
263,846055,"11.1","11.34",263,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
264,280284,"11.1","11.05",264,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
265,473181,"11.1","11.42",265,"2020-06-10 20:28:16.621+00","2020-06-10 20:28:16.621+00"
